Suburb,State,Postcode,Longitude ,Latitude 
ANU,ACT,200,149.119,-35.2777
Australian National University,ACT,200,149.1189,-35.2777
DARWIN,NT,800,130.83668,-12.458684
DARWIN CITY,NT,800,130.83668,-12.458684
DARWIN,NT,801,130.83668,-12.458684
WAGAIT BEACH,NT,803,130.7459083,-12.43399126
PARAP,NT,804,130.873315,-12.428017
ALAWA,NT,810,130.866242,-12.381806
BRINKIN,NT,810,130.866242,-12.381806
CASUARINA,NT,810,130.866242,-12.381806
COCONUT GROVE,NT,810,130.8502369,-12.39614166
JINGILI,NT,810,130.866242,-12.381806
LEE POINT,NT,810,130.866242,-12.381806
LYONS,NT,810,130.8885151,-12.35911956
MILLNER,NT,810,130.866242,-12.381806
MOIL,NT,810,130.866242,-12.381806
MUIRHEAD,NT,810,130.8959029,-12.35811947
NAKARA,NT,810,130.866242,-12.381806
NIGHTCLIFF,NT,810,130.866242,-12.381806
RAPID CREEK,NT,810,130.866242,-12.381806
TIWI,NT,810,130.866242,-12.381806
WAGAMAN,NT,810,130.866242,-12.381806
WANGURI,NT,810,130.866242,-12.381806
CASUARINA,NT,811,130.866242,-12.381806
ANULA,NT,812,130.89047,-12.39124885
BUFFALO CREEK,NT,812,130.9209831,-12.34638634
HOLMES,NT,812,130.9268602,-12.38479951
KARAMA,NT,812,130.916098,-12.404778
LEANYER,NT,812,130.916098,-12.404778
MALAK,NT,812,130.916098,-12.404778
MARRARA,NT,812,130.916098,-12.404778
NORTHLAKES,NT,812,130.916098,-12.404778
SANDERSON,NT,812,130.916098,-12.404778
WOODLEIGH GARDENS,NT,812,130.916098,-12.404778
WULAGI,NT,812,130.916098,-12.404778
KARAMA,NT,813,130.916098,-12.404778
SANDERSON,NT,813,130.916098,-12.404778
NIGHTCLIFF,NT,814,130.866242,-12.381806
CHARLES DARWIN UNIVERSITY,NT,815,130.869,-12.3718
BAGOT,NT,820,130.873315,-12.428017
BAYVIEW,NT,820,130.873315,-12.428017
CHARLES DARWIN,NT,820,130.873315,-12.428017
COONAWARRA,NT,820,130.873315,-12.428017
CULLEN BAY,NT,820,130.873315,-12.428017
DARWIN DC,NT,820,130.8664593,-12.4255956
DARWIN INTERNATIONAL AIRPORT,NT,820,130.873315,-12.428017
DARWIN MC,NT,820,130.873315,-12.428017
EAST POINT,NT,820,130.873315,-12.428017
EATON,NT,820,130.880692,-12.4123871
FANNIE BAY,NT,820,130.873315,-12.428017
LARRAKEYAH,NT,820,130.873315,-12.428017
LUDMILLA,NT,820,130.873315,-12.428017
PARAP,NT,820,130.873315,-12.428017
RAAF BASE DARWIN,NT,820,130.873315,-12.428017
STUART PARK,NT,820,130.873315,-12.428017
THE GARDENS,NT,820,130.873315,-12.428017
THE NARROWS,NT,820,130.873315,-12.428017
WINNELLIE,NT,820,130.873315,-12.428017
WOOLNER,NT,820,130.873315,-12.428017
WINNELLIE,NT,821,136.947051,-13.643283
ACACIA HILLS,NT,822,130.6254299,-11.75841975
ANGURUGU,NT,822,130.6254299,-11.75841975
ANINDILYAKWA,NT,822,130.6254299,-11.75841975
ANNIE RIVER,NT,822,130.6254299,-11.75841975
BATHURST ISLAND,NT,822,130.6254299,-11.75841975
BEES CREEK,NT,822,130.6254299,-11.75841975
BELYUEN,NT,822,130.6254299,-11.75841975
BLACK JUNGLE,NT,822,130.6254299,-11.75841975
BLACKMORE,NT,822,130.6254299,-11.75841975
BORDER STORE,NT,822,130.6254299,-11.75841975
BURRUNDIE,NT,822,130.6254299,-11.75841975
BYNOE,NT,822,130.6254299,-11.75841975
BYNOE HARBOUR,NT,822,130.6254299,-11.75841975
CAMP CREEK,NT,822,130.6254299,-11.75841975
CHANNEL ISLAND,NT,822,130.6254299,-11.75841975
CHARLES DARWIN,NT,822,130.6254299,-11.75841975
CHARLOTTE,NT,822,130.6254299,-11.75841975
CLARAVALE,NT,822,130.6254299,-11.75841975
COBOURG,NT,822,130.6254299,-11.75841975
COLLETT CREEK,NT,822,130.6254299,-11.75841975
COOMALIE CREEK,NT,822,130.6254299,-11.75841975
COX PENINSULA,NT,822,130.6254299,-11.75841975
CROKER ISLAND,NT,822,130.6254299,-11.75841975
DALY,NT,822,130.6254299,-11.75841975
DALY RIVER,NT,822,130.6254299,-11.75841975
DARWIN MC,NT,822,130.6254299,-11.75841975
DARWIN RIVER DAM,NT,822,130.6254299,-11.75841975
DELISSAVILLE,NT,822,130.6254299,-11.75841975
DOUGLAS-DALY,NT,822,130.6254299,-11.75841975
EAST ARM,NT,822,130.6254299,-11.75841975
EAST ARNHEM,NT,822,130.6254299,-11.75841975
ELRUNDIE,NT,822,130.6254299,-11.75841975
EVA VALLEY,NT,822,130.6254299,-11.75841975
FINNISS VALLEY,NT,822,130.6254299,-11.75841975
FLEMING,NT,822,130.6254299,-11.75841975
FLY CREEK,NT,822,130.6254299,-11.75841975
FREDS PASS,NT,822,130.6254299,-11.75841975
GALIWINKU,NT,822,130.6254299,-11.75841975
GLYDE POINT,NT,822,130.6254299,-11.75841975
GOULBOURN ISLAND,NT,822,130.6254299,-11.75841975
GOULBURN ISLAND,NT,822,130.6254299,-11.75841975
GUNBALANYA,NT,822,130.6254299,-11.75841975
GUNN POINT,NT,822,130.6254299,-11.75841975
HAYES CREEK,NT,822,130.6254299,-11.75841975
HIDDEN VALLEY,NT,822,130.6254299,-11.75841975
HOTHAM,NT,822,130.6254299,-11.75841975
HUGHES,NT,822,130.6254299,-11.75841975
KAKADU,NT,822,130.6254299,-11.75841975
KOOLPINYAH,NT,822,130.6254299,-11.75841975
LAKE BENNETT,NT,822,130.6254299,-11.75841975
LAMBELLS LAGOON,NT,822,130.6254299,-11.75841975
LITCHFIELD PARK,NT,822,130.6254299,-11.75841975
LIVINGSTONE,NT,822,130.6254299,-11.75841975
LLOYD CREEK,NT,822,130.6254299,-11.75841975
MANDORAH,NT,822,130.6254299,-11.75841975
MANINGRIDA,NT,822,130.6254299,-11.75841975
MAPURU,NT,822,130.6254299,-11.75841975
MARANUNGA,NT,822,130.6254299,-11.75841975
MARGARET RIVER,NT,822,130.6254299,-11.75841975
MARRAKAI,NT,822,130.6254299,-11.75841975
MCMINNS LAGOON,NT,822,130.6254299,-11.75841975
MICKET CREEK,NT,822,130.9523,-12.3651
MICKETT CREEK,NT,822,130.6254299,-11.75841975
MIDDLE POINT,NT,822,130.6254299,-11.75841975
MILIKAPITI,NT,822,130.6254299,-11.75841975
MILINGIMBI,NT,822,130.6254299,-11.75841975
MILLWOOD,NT,822,130.6254299,-11.75841975
MILYAKBURRA,NT,822,130.6254299,-11.75841975
MINJILANG,NT,822,130.6254299,-11.75841975
MOUNT BUNDEY,NT,822,130.6254299,-11.75841975
MURRUMUJUK,NT,822,130.6254299,-11.75841975
NAUIYU,NT,822,130.6254299,-11.75841975
NEMARLUK,NT,822,130.6254299,-11.75841975
NGANMARRIYANGA,NT,822,130.6254299,-11.75841975
NGUIU,NT,822,130.6254299,-11.75841975
NUMBULWAR,NT,822,130.6254299,-11.75841975
NUMBURINDI,NT,822,130.6254299,-11.75841975
OENPELLI,NT,822,130.6254299,-11.75841975
PEPPIMENARTI,NT,822,130.6254299,-11.75841975
PIRLANGIMPI,NT,822,130.6254299,-11.75841975
POINT STEPHENS,NT,822,130.6254299,-11.75841975
POINT STUART,NT,822,130.6254299,-11.75841975
PULARUMPI,NT,822,130.6254299,-11.75841975
PULUMPA,NT,822,130.6254299,-11.75841975
RAKULA,NT,822,130.6254299,-11.75841975
RAMINGINING,NT,822,130.6254299,-11.75841975
ROBIN FALLS,NT,822,130.6254299,-11.75841975
RUM JUNGLE,NT,822,130.6254299,-11.75841975
SANDPALMS ROADHOUSE,NT,822,130.6254299,-11.75841975
SOUTHPORT,NT,822,130.6254299,-11.75841975
STAPLETON,NT,822,130.6254299,-11.75841975
THAMARRURR,NT,822,130.6254299,-11.75841975
TIPPERARY,NT,822,130.6254299,-11.75841975
TIVENDALE,NT,822,130.6254299,-11.75841975
TIWI ISLANDS,NT,822,130.6254299,-11.75841975
TORTILLA FLATS,NT,822,130.6254299,-11.75841975
TUMBLING WATERS,NT,822,130.6254299,-11.75841975
UMBAKUMBA,NT,822,130.6254299,-11.75841975
VERNON ISLANDS,NT,822,130.6254299,-11.75841975
VIRGINIA,NT,822,130.6254299,-11.75841975
WADEYE,NT,822,130.6254299,-11.75841975
WAGAIT BEACH,NT,822,130.7459083,-12.43399126
WAK WAK,NT,822,130.6254299,-11.75841975
WARRUWI,NT,822,130.6254299,-11.75841975
WEDDELL,NT,822,130.6254299,-11.75841975
WEST ARNHEM,NT,822,130.6254299,-11.75841975
WICKHAM,NT,822,130.6254299,-11.75841975
WINNELLIE,NT,822,130.6254299,-11.75841975
WISHART,NT,822,130.6254299,-11.75841975
WOOLANING,NT,822,130.6254299,-11.75841975
